DATA,CORINTHIANS,PLACARCOR,PLACARADV,ADVERSÁRIO
18-09-66,CORINTHIANS,0,3,SÃO PAULO
21-09-66,CORINTHIANS,2,0,COMERCIAL (RIBEIRÃO PRETO)
25-09-66,CORINTHIANS,3,2,PRUDENTINA
28-09-66,CORINTHIANS,5,3,AMÉRICA (RIO PRETO)
02-10-66,CORINTHIANS,1,0,PALMEIRAS
08-10-66,CORINTHIANS,0,3,SANTOS
16-10-66,CORINTHIANS,3,4,NOROESTE
23-10-66,CORINTHIANS,1,0,AMÉRICA (RIO PRETO)
26-10-66,CORINTHIANS,0,1,SÃO BENTO (SOROCABA)
30-10-66,CORINTHIANS,2,0,GUARANI
03-11-66,CORINTHIANS,1,1,PORTUGUESA SANTISTA
06-11-66,CORINTHIANS,5,1,BOTAFOGO (RIBEIRÃO PRETO)
13-11-66,CORINTHIANS,1,3,PORTUGUESA
20-11-66,CORINTHIANS,0,0,COMERCIAL (RIBEIRÃO PRETO)
23-11-66,CORINTHIANS,1,0,PRUDENTINA
27-11-66,CORINTHIANS,3,0,BRAGANTINO
30-11-66,CORINTHIANS,3,0,JUVENTUS
04-12-66,CORINTHIANS,1,2,SÃO PAULO
11-12-66,CORINTHIANS,1,0,PALMEIRAS
17-12-66,CORINTHIANS,1,1,SANTOS
22-01-67,CORINTHIANS,5,2,FERROVIÁRIO ARAÇATUBA
26-02-67,CORINTHIANS,1,0,VOTUPORANGUENSE
04-03-67,CORINTHIANS,2,0,PORTUGUESA SANTISTA
09-03-67,CORINTHIANS,1,2,PALMEIRAS
12-03-67,CORINTHIANS,2,1,FERROVIÁRIO
19-03-67,CORINTHIANS,3,3,FLUMINENSE
29-03-67,CORINTHIANS,4,2,CRUZEIRO
02-04-67,CORINTHIANS,2,2,INTERNACIONAL
05-04-67,CORINTHIANS,2,1,GRÊMIO
08-04-67,CORINTHIANS,2,0,VASCO DA GAMA
12-04-67,CORINTHIANS,2,1,PORTUGUESA
16-04-67,CORINTHIANS,4,1,BANGU
22-04-67,CORINTHIANS,1,0,SÃO PAULO
26-04-67,CORINTHIANS,0,0,ATLÉTICO MINEIRO
29-04-67,CORINTHIANS,2,0,BOTAFOGO
06-05-67,CORINTHIANS,3,2,FLAMENGO
13-05-67,CORINTHIANS,1,1,SANTOS
20-05-67,CORINTHIANS,2,1,GRÊMIO
24-05-67,CORINTHIANS,2,2,PALMEIRAS
28-05-67,CORINTHIANS,0,1,INTERNACIONAL
31-05-67,CORINTHIANS,1,0,GRÊMIO
04-06-67,CORINTHIANS,0,1,PALMEIRAS
